,City,Location,lon,lat
312,"Maywood, IL","(41.8791979, -87.8431155)",41.8791979,-87.8431155
313,"Acton, MA","(42.4850931, -71.43284)",42.4850931,-71.43284
314,"Menands, NY","(42.6920233, -73.7245639)",42.6920233,-73.7245639
315,"New Hyde Park, NY","(40.7351019, -73.6879082)",40.7351019,-73.6879082
316,"Valhalla, NY","(41.0748189, -73.7751326)",41.0748189,-73.7751326
317,"Horseheads, NY","(42.167019, -76.8205119)",42.167019,-76.8205119
318,"Victor, NY","(42.9825634, -77.4088794)",42.9825634,-77.4088794
319,"Plainview, NY","(40.7764882, -73.4673455)",40.7764882,-73.4673455
320,"Williamsville, NY","(42.9637836, -78.7377258)",42.9637836,-78.7377258
321,"Hercules, CA","(38.0171441, -122.2885808)",38.0171441,-122.2885808
322,"Commerce, CA","(34.002581, -118.156586)",34.002581,-118.156586
323,"Hawthorne, CA","(33.911454, -118.34816)",33.911454,-118.34816
324,"Inglewood, CA","(33.96185, -118.3550377)",33.96185,-118.3550377
325,"Laurel, MD","(39.0992752, -76.8483061)",39.0992752,-76.8483061
326,"Naperville, IL","(41.7729107, -88.147867)",41.7729107,-88.147867
327,"Braintree, MA","(42.2223218, -70.999492)",42.2223218,-70.999492
328,"Lowell, MA","(42.6334247, -71.3161718)",42.6334247,-71.3161718
329,"Roxbury, MA","(42.3248426, -71.0950158)",42.3248426,-71.0950158
330,"East Syracuse, NY","(43.0653446, -76.0785332)",43.0653446,-76.0785332
331,"Plattekill, NY","(41.6173567, -74.0761622)",41.6173567,-74.0761622
332,"Corning, NY","(42.1428521, -77.0546903)",42.1428521,-77.0546903
333,"Clarence, NY","(42.9769726, -78.5920377)",42.9769726,-78.5920377
334,"Smithtown, NY","(40.8559314, -73.2006687)",40.8559314,-73.2006687
335,"Rye Brook, NY","(41.0192641, -73.6834621)",41.0192641,-73.6834621
336,"Allston, MA","(42.3554344, -71.1321271)",42.3554344,-71.1321271
337,"New Rochelle, NY","(40.9115386, -73.7826363)",40.9115386,-73.7826363
338,"Richmond, CA","(37.9357576, -122.3477486)",37.9357576,-122.3477486
339,"Silver Spring, MD","(38.9959081, -77.0288918)",38.9959081,-77.0288918
340,"Danville, CA","(37.8215929, -121.9999606)",37.8215929,-121.9999606
341,"Encino, CA","(34.1591324, -118.5016166)",34.1591324,-118.5016166
342,"Willow Springs, IL","(34.87831, -118.2967447)",34.87831,-118.2967447
343,"Armonk, NY","(41.1264849, -73.7140195)",41.1264849,-73.7140195
344,"Bellport, NY","(40.7570429, -72.9392727)",40.7570429,-72.9392727
345,"Friendswood, TX","(29.5293998, -95.2010447)",29.5293998,-95.2010447
346,"Duarte, CA","(34.1394513, -117.9772873)",34.1394513,-117.9772873
347,"National Harbor, MD","(38.78343595, -77.0141419981481)",38.78343595,-77.0141419981481
348,"Randolph, MA","(42.1625997, -71.0411588)",42.1625997,-71.0411588
349,"Winchester, MA","(42.4523178, -71.1369982)",42.4523178,-71.1369982
350,"Needham Heights, MA","(42.2934385, -71.2359901)",42.2934385,-71.2359901
351,"Malone, NY","(44.84881, -74.295044)",44.84881,-74.295044
352,"Harrison, NY","(40.9689871, -73.71263)",40.9689871,-73.71263
